"cell_num" "coverage_mean" "coverage_variance" "eff_seq_err_rate" "ado_rate" "deletion_rate" "insertion_rate" "dataset" "total_snv_sites" "total_snv_entries" "parallel_mu_sites" "parallel_mu_entries" "prop_parallel_mu_sites" "prop_parallel_mu_entries"
100 20 2 0.001999 0.16334 0 0 1 1560 156000 244 5465 0.156410256410256 0.0350320512820513
100 20 2 0.001999 0.16334 0 0 2 1767 176700 347 7262 0.196378041878891 0.0410979060554612
100 20 2 0.001999 0.16334 0 0 3 1795 179500 426 9279 0.237325905292479 0.0516935933147632
100 20 2 0.001999 0.16334 0 0 4 1409 140900 253 4343 0.179559971611072 0.0308232789212207
100 20 2 0.001999 0.16334 0 0 5 1488 148800 283 4091 0.190188172043011 0.0274932795698925
100 20 2 0.001999 0.16334 0 0 6 1952 195200 434 9383 0.222336065573771 0.0480686475409836
100 20 2 0.001999 0.16334 0 0 7 1714 171400 362 7627 0.21120186697783 0.0444982497082847
100 20 2 0.001999 0.16334 0 0 8 1545 154500 274 6442 0.177346278317152 0.0416957928802589
100 20 2 0.001999 0.16334 0 0 9 1581 158100 300 6677 0.189753320683112 0.0422327640733713
100 20 2 0.001999 0.16334 0 0 10 1493 149300 213 4884 0.142665773610181 0.0327126590756865
100 20 2 0.001999 0.16334 0 0 11 1581 158100 288 7234 0.182163187855787 0.0457558507273877
100 20 2 0.001999 0.16334 0 0 12 1480 148000 278 4216 0.187837837837838 0.0284864864864865
100 20 2 0.001999 0.16334 0 0 13 1555 155500 329 5571 0.211575562700965 0.0358263665594855
100 20 2 0.001999 0.16334 0 0 14 1704 170400 380 7834 0.223004694835681 0.0459741784037559
100 20 2 0.001999 0.16334 0 0 15 1821 182100 382 8069 0.209774848984075 0.0443108182317408
100 20 2 0.001999 0.16334 0 0 16 1865 186500 445 8205 0.238605898123324 0.0439946380697051
100 20 2 0.001999 0.16334 0 0 17 1625 162500 333 5916 0.204923076923077 0.0364061538461538
100 20 2 0.001999 0.16334 0 0 18 1378 137800 241 3538 0.17489114658926 0.0256748911465893
100 20 2 0.001999 0.16334 0 0 19 1605 160500 325 6369 0.202492211838006 0.0396822429906542
100 20 2 0.001999 0.16334 0 0 20 1548 154800 270 4850 0.174418604651163 0.0313307493540052
