"cell_num" "coverage_mean" "coverage_variance" "eff_seq_err_rate" "ado_rate" "deletion_rate" "insertion_rate" "dataset" "total_snv_sites" "total_snv_entries" "parallel_mu_sites" "parallel_mu_entries" "prop_parallel_mu_sites" "prop_parallel_mu_entries"
100 5 20 0.001999 0.16334 0 0 1 1560 156000 244 5465 0.156410256410256 0.0350320512820513
100 5 20 0.001999 0.16334 0 0 2 1629 162900 322 5882 0.197667280540209 0.0361080417434009
100 5 20 0.001999 0.16334 0 0 3 1747 174700 372 6259 0.212936462507155 0.0358271322266743
100 5 20 0.001999 0.16334 0 0 4 1782 178200 329 8167 0.184624017957351 0.0458305274971942
100 5 20 0.001999 0.16334 0 0 5 1551 155100 206 4039 0.132817537072856 0.0260412637008382
100 5 20 0.001999 0.16334 0 0 6 1864 186400 306 4649 0.164163090128755 0.0249409871244635
100 5 20 0.001999 0.16334 0 0 7 1645 164500 285 6233 0.173252279635258 0.0378905775075988
100 5 20 0.001999 0.16334 0 0 8 1593 159300 228 3256 0.143126177024482 0.0204394224733208
100 5 20 0.001999 0.16334 0 0 9 1741 174100 255 5273 0.146467547386559 0.0302871912693854
100 5 20 0.001999 0.16334 0 0 10 1542 154200 244 4729 0.158236057068742 0.0306679636835279
100 5 20 0.001999 0.16334 0 0 11 1484 148400 253 4636 0.170485175202156 0.0312398921832884
100 5 20 0.001999 0.16334 0 0 12 1659 165900 336 7053 0.20253164556962 0.0425135623869801
100 5 20 0.001999 0.16334 0 0 13 1455 145500 329 6798 0.226116838487973 0.0467216494845361
100 5 20 0.001999 0.16334 0 0 14 1648 164800 238 5199 0.144417475728155 0.0315473300970874
100 5 20 0.001999 0.16334 0 0 15 1741 174100 371 7245 0.213095921883975 0.041614014933946
100 5 20 0.001999 0.16334 0 0 16 1465 146500 402 6632 0.274402730375427 0.0452696245733788
100 5 20 0.001999 0.16334 0 0 17 1734 173400 280 5443 0.161476355247982 0.0313898500576701
100 5 20 0.001999 0.16334 0 0 18 1352 135200 367 6833 0.271449704142012 0.0505399408284024
100 5 20 0.001999 0.16334 0 0 19 1745 174500 367 8330 0.210315186246418 0.0477363896848138
100 5 20 0.001999 0.16334 0 0 20 1918 191800 255 3620 0.132950990615224 0.018873826903024
