"cell_num" "coverage_mean" "coverage_variance" "eff_seq_err_rate" "ado_rate" "deletion_rate" "insertion_rate" "dataset" "total_snv_sites" "total_snv_entries" "parallel_mu_sites" "parallel_mu_entries" "prop_parallel_mu_sites" "prop_parallel_mu_entries"
40 5 20 0.001999 0.16334 0 0 1 756 30240 1 3 0.00132275132275132 9.92063492063492e-05
40 5 20 0.001999 0.16334 0 0 2 720 28800 1 9 0.00138888888888889 0.0003125
40 5 20 0.001999 0.16334 0 0 3 704 28160 1 9 0.00142045454545455 0.000319602272727273
40 5 20 0.001999 0.16334 0 0 4 864 34560 3 18 0.00347222222222222 0.000520833333333333
40 5 20 0.001999 0.16334 0 0 5 786 31440 2 55 0.00254452926208651 0.00174936386768448
40 5 20 0.001999 0.16334 0 0 6 658 26320 3 39 0.00455927051671732 0.00148176291793313
40 5 20 0.001999 0.16334 0 0 7 762 30480 2 18 0.0026246719160105 0.000590551181102362
40 5 20 0.001999 0.16334 0 0 8 617 24680 1 11 0.00162074554294976 0.000445705024311183
40 5 20 0.001999 0.16334 0 0 9 599 23960 2 18 0.00333889816360601 0.000751252086811352
40 5 20 0.001999 0.16334 0 0 10 691 27640 0 0 0 0
40 5 20 0.001999 0.16334 0 0 11 780 31200 0 0 0 0
40 5 20 0.001999 0.16334 0 0 12 564 22560 2 5 0.00354609929078014 0.000221631205673759
40 5 20 0.001999 0.16334 0 0 13 565 22600 1 9 0.00176991150442478 0.000398230088495575
40 5 20 0.001999 0.16334 0 0 14 683 27320 1 2 0.00146412884333821 7.32064421669107e-05
40 5 20 0.001999 0.16334 0 0 15 652 26080 4 36 0.00613496932515337 0.00138036809815951
40 5 20 0.001999 0.16334 0 0 16 690 27600 1 13 0.00144927536231884 0.000471014492753623
40 5 20 0.001999 0.16334 0 0 17 688 27520 2 24 0.00290697674418605 0.000872093023255814
40 5 20 0.001999 0.16334 0 0 18 770 30800 3 20 0.0038961038961039 0.000649350649350649
40 5 20 0.001999 0.16334 0 0 19 474 18960 1 4 0.00210970464135021 0.000210970464135021
40 5 20 0.001999 0.16334 0 0 20 903 36120 3 61 0.00332225913621262 0.00168881506090808
