"cell_num" "coverage_mean" "coverage_variance" "eff_seq_err_rate" "ado_rate" "deletion_rate" "insertion_rate" "dataset" "total_snv_sites" "total_snv_entries" "parallel_mu_sites" "parallel_mu_entries" "prop_parallel_mu_sites" "prop_parallel_mu_entries"
40 20 2 0.001999 0.16334 0 0 1 1455 58200 63 771 0.0432989690721649 0.0132474226804124
40 20 2 0.001999 0.16334 0 0 2 1395 55800 68 603 0.0487455197132617 0.0108064516129032
40 20 2 0.001999 0.16334 0 0 3 1380 55200 64 844 0.0463768115942029 0.0152898550724638
40 20 2 0.001999 0.16334 0 0 4 1243 49720 56 503 0.0450522928399035 0.0101166532582462
40 20 2 0.001999 0.16334 0 0 5 1512 60480 100 985 0.0661375661375661 0.0162863756613757
40 20 2 0.001999 0.16334 0 0 6 1378 55120 75 856 0.0544267053701016 0.0155297532656023
40 20 2 0.001999 0.16334 0 0 7 1725 69000 105 1394 0.0608695652173913 0.0202028985507246
40 20 2 0.001999 0.16334 0 0 8 1189 47560 49 571 0.0412111017661901 0.0120058873002523
40 20 2 0.001999 0.16334 0 0 9 1327 53080 67 617 0.0504898266767144 0.0116239638281839
40 20 2 0.001999 0.16334 0 0 10 1095 43800 46 324 0.0420091324200913 0.0073972602739726
40 20 2 0.001999 0.16334 0 0 11 1293 51720 59 622 0.045630317092034 0.0120262954369683
40 20 2 0.001999 0.16334 0 0 12 986 39440 24 203 0.0243407707910751 0.00514705882352941
40 20 2 0.001999 0.16334 0 0 13 1391 55640 81 709 0.0582314881380302 0.0127426312005751
40 20 2 0.001999 0.16334 0 0 14 1031 41240 35 312 0.0339476236663434 0.00756547041707081
40 20 2 0.001999 0.16334 0 0 15 1181 47240 55 559 0.0465707027942422 0.0118331922099915
40 20 2 0.001999 0.16334 0 0 16 1351 54040 57 612 0.0421909696521095 0.0113249444855662
40 20 2 0.001999 0.16334 0 0 17 1322 52880 59 609 0.0446293494704992 0.0115166414523449
40 20 2 0.001999 0.16334 0 0 18 1454 58160 57 708 0.0392022008253095 0.0121733149931224
40 20 2 0.001999 0.16334 0 0 19 1268 50720 62 650 0.0488958990536278 0.0128154574132492
40 20 2 0.001999 0.16334 0 0 20 897 35880 33 238 0.0367892976588629 0.00663322185061316
