"cell_num" "coverage_mean" "coverage_variance" "eff_seq_err_rate" "ado_rate" "deletion_rate" "insertion_rate" "dataset" "total_snv_sites" "total_snv_entries" "parallel_mu_sites" "parallel_mu_entries" "prop_parallel_mu_sites" "prop_parallel_mu_entries"
100 20 2 0.001999 0.16334 0 0 1 1339 133900 6 120 0.00448095593726662 0.000896191187453323
100 20 2 0.001999 0.16334 0 0 2 1562 156200 5 53 0.00320102432778489 0.000339308578745198
100 20 2 0.001999 0.16334 0 0 3 1422 142200 8 119 0.00562587904360056 0.000836849507735584
100 20 2 0.001999 0.16334 0 0 4 1435 143500 3 29 0.00209059233449477 0.000202090592334495
100 20 2 0.001999 0.16334 0 0 5 1411 141100 7 85 0.00496102055279943 0.000602409638554217
100 20 2 0.001999 0.16334 0 0 6 1153 115300 7 56 0.00607111882046834 0.000485689505637467
100 20 2 0.001999 0.16334 0 0 7 1417 141700 9 132 0.0063514467184192 0.000931545518701482
100 20 2 0.001999 0.16334 0 0 8 1355 135500 8 98 0.00590405904059041 0.000723247232472325
100 20 2 0.001999 0.16334 0 0 9 1710 171000 10 199 0.00584795321637427 0.00116374269005848
100 20 2 0.001999 0.16334 0 0 10 1526 152600 12 202 0.00786369593709043 0.00132372214941022
100 20 2 0.001999 0.16334 0 0 11 1726 172600 10 96 0.00579374275782155 0.000556199304750869
100 20 2 0.001999 0.16334 0 0 12 1403 140300 6 116 0.00427655024946543 0.00082679971489665
100 20 2 0.001999 0.16334 0 0 13 1751 175100 8 230 0.00456881781838949 0.00131353512278698
100 20 2 0.001999 0.16334 0 0 14 1683 168300 6 177 0.0035650623885918 0.00105169340463458
100 20 2 0.001999 0.16334 0 0 15 1601 160100 6 89 0.00374765771392879 0.000555902560899438
100 20 2 0.001999 0.16334 0 0 16 1491 149100 4 114 0.00268276324614353 0.000764587525150905
100 20 2 0.001999 0.16334 0 0 17 1331 133100 9 163 0.0067618332081142 0.00122464312546957
100 20 2 0.001999 0.16334 0 0 18 1303 130300 3 179 0.00230237912509593 0.00137375287797391
100 20 2 0.001999 0.16334 0 0 19 1538 153800 4 42 0.00260078023407022 0.000273081924577373
100 20 2 0.001999 0.16334 0 0 20 1503 150300 7 92 0.00465735196274118 0.000612109115103127
