"cell_num" "coverage_mean" "coverage_variance" "eff_seq_err_rate" "ado_rate" "deletion_rate" "insertion_rate" "dataset" "total_snv_sites" "total_snv_entries" "parallel_mu_sites" "parallel_mu_entries" "prop_parallel_mu_sites" "prop_parallel_mu_entries"
40 5 20 0.001999 0.16334 0 0 1 1124 44960 175 2158 0.155693950177936 0.0479982206405694
40 5 20 0.001999 0.16334 0 0 2 928 37120 117 1250 0.126077586206897 0.0336745689655172
40 5 20 0.001999 0.16334 0 0 3 1127 45080 166 2126 0.147293700088731 0.0471606033717835
40 5 20 0.001999 0.16334 0 0 4 857 34280 172 1690 0.200700116686114 0.0492998833138856
40 5 20 0.001999 0.16334 0 0 5 1024 40960 145 1966 0.1416015625 0.047998046875
40 5 20 0.001999 0.16334 0 0 6 1030 41200 257 2372 0.249514563106796 0.0575728155339806
40 5 20 0.001999 0.16334 0 0 7 903 36120 166 1805 0.183831672203765 0.0499723145071982
40 5 20 0.001999 0.16334 0 0 8 1032 41280 122 1520 0.118217054263566 0.0368217054263566
40 5 20 0.001999 0.16334 0 0 9 1013 40520 170 2506 0.16781836130306 0.0618460019743337
40 5 20 0.001999 0.16334 0 0 10 975 39000 195 2361 0.2 0.0605384615384615
40 5 20 0.001999 0.16334 0 0 11 915 36600 91 867 0.0994535519125683 0.0236885245901639
40 5 20 0.001999 0.16334 0 0 12 1229 49160 157 1599 0.127746135069162 0.032526444263629
40 5 20 0.001999 0.16334 0 0 13 1139 45560 150 1730 0.131694468832309 0.0379719051799824
40 5 20 0.001999 0.16334 0 0 14 1023 40920 104 1210 0.101661779081134 0.0295698924731183
40 5 20 0.001999 0.16334 0 0 15 1020 40800 142 1746 0.13921568627451 0.0427941176470588
40 5 20 0.001999 0.16334 0 0 16 1018 40720 223 2797 0.219056974459725 0.068688605108055
40 5 20 0.001999 0.16334 0 0 17 791 31640 166 1663 0.209860935524652 0.0525600505689001
40 5 20 0.001999 0.16334 0 0 18 842 33680 212 3049 0.251781472684086 0.0905285035629454
40 5 20 0.001999 0.16334 0 0 19 1199 47960 185 2471 0.154295246038365 0.0515221017514595
40 5 20 0.001999 0.16334 0 0 20 1112 44480 116 1286 0.10431654676259 0.0289118705035971
