"cell_num" "coverage_mean" "coverage_variance" "eff_seq_err_rate" "ado_rate" "deletion_rate" "insertion_rate" "dataset" "total_snv_sites" "total_snv_entries" "parallel_mu_sites" "parallel_mu_entries" "prop_parallel_mu_sites" "prop_parallel_mu_entries"
100 20 2 0.001999 0.16334 0 0 1 1462 146200 74 1592 0.0506155950752394 0.0108891928864569
100 20 2 0.001999 0.16334 0 0 2 1765 176500 101 2080 0.0572237960339943 0.0117847025495751
100 20 2 0.001999 0.16334 0 0 3 1797 179700 127 1993 0.0706733444629939 0.0110907067334446
100 20 2 0.001999 0.16334 0 0 4 1631 163100 118 1682 0.0723482526057633 0.0103126916002452
100 20 2 0.001999 0.16334 0 0 5 1995 199500 164 2241 0.0822055137844612 0.0112330827067669
100 20 2 0.001999 0.16334 0 0 6 1494 149400 82 1325 0.0548862115127175 0.00886880856760375
100 20 2 0.001999 0.16334 0 0 7 1543 154300 85 1394 0.0550874918988982 0.00903434867141931
100 20 2 0.001999 0.16334 0 0 8 1828 182800 101 2111 0.0552516411378556 0.0115481400437637
100 20 2 0.001999 0.16334 0 0 9 1768 176800 117 2317 0.0661764705882353 0.0131052036199095
100 20 2 0.001999 0.16334 0 0 10 1847 184700 122 2554 0.0660530590146183 0.0138278289117488
100 20 2 0.001999 0.16334 0 0 11 1613 161300 104 1526 0.0644761314321141 0.00946063236205828
100 20 2 0.001999 0.16334 0 0 12 1584 158400 106 1428 0.0669191919191919 0.00901515151515152
100 20 2 0.001999 0.16334 0 0 13 1620 162000 92 1542 0.0567901234567901 0.00951851851851852
100 20 2 0.001999 0.16334 0 0 14 1745 174500 104 3176 0.0595988538681948 0.0182005730659026
100 20 2 0.001999 0.16334 0 0 15 2002 200200 139 3046 0.0694305694305694 0.0152147852147852
100 20 2 0.001999 0.16334 0 0 16 1540 154000 106 1700 0.0688311688311688 0.011038961038961
100 20 2 0.001999 0.16334 0 0 17 1790 179000 113 1866 0.0631284916201117 0.0104245810055866
100 20 2 0.001999 0.16334 0 0 18 1837 183700 136 1966 0.0740337506804573 0.0107022318998367
100 20 2 0.001999 0.16334 0 0 19 1741 174100 122 2407 0.0700746697300402 0.0138253877082137
100 20 2 0.001999 0.16334 0 0 20 1510 151000 79 1139 0.052317880794702 0.00754304635761589
