"cell_num" "coverage_mean" "coverage_variance" "eff_seq_err_rate" "ado_rate" "deletion_rate" "insertion_rate" "dataset" "total_snv_sites" "total_snv_entries" "parallel_mu_sites" "parallel_mu_entries" "prop_parallel_mu_sites" "prop_parallel_mu_entries"
100 5 20 0.001999 0.16334 0 0 1 1339 133900 6 120 0.00448095593726662 0.000896191187453323
100 5 20 0.001999 0.16334 0 0 2 1282 128200 6 96 0.0046801872074883 0.000748829953198128
100 5 20 0.001999 0.16334 0 0 3 1273 127300 3 36 0.002356637863315 0.0002827965435978
100 5 20 0.001999 0.16334 0 0 4 1360 136000 14 301 0.0102941176470588 0.00221323529411765
100 5 20 0.001999 0.16334 0 0 5 1701 170100 7 133 0.00411522633744856 0.000781893004115226
100 5 20 0.001999 0.16334 0 0 6 1419 141900 9 256 0.00634249471458774 0.00180408738548273
100 5 20 0.001999 0.16334 0 0 7 1625 162500 1 92 0.000615384615384615 0.000566153846153846
100 5 20 0.001999 0.16334 0 0 8 1550 155000 4 70 0.00258064516129032 0.000451612903225806
100 5 20 0.001999 0.16334 0 0 9 1382 138200 8 183 0.00578871201157742 0.00132416787264834
100 5 20 0.001999 0.16334 0 0 10 1211 121100 6 51 0.00495458298926507 0.000421139554087531
100 5 20 0.001999 0.16334 0 0 11 1496 149600 7 160 0.00467914438502674 0.00106951871657754
100 5 20 0.001999 0.16334 0 0 12 1331 133100 7 287 0.00525920360631104 0.00215627347858753
100 5 20 0.001999 0.16334 0 0 13 1447 144700 7 95 0.00483759502418798 0.000656530753282654
100 5 20 0.001999 0.16334 0 0 14 1525 152500 6 110 0.0039344262295082 0.000721311475409836
100 5 20 0.001999 0.16334 0 0 15 1447 144700 3 72 0.00207325501036628 0.000497581202487906
100 5 20 0.001999 0.16334 0 0 16 1461 146100 3 10 0.00205338809034908 6.84462696783025e-05
100 5 20 0.001999 0.16334 0 0 17 1517 151700 8 323 0.005273566249176 0.00212920237310481
100 5 20 0.001999 0.16334 0 0 18 1403 140300 7 103 0.00498930862437634 0.000734141126158232
100 5 20 0.001999 0.16334 0 0 19 1518 151800 8 67 0.00527009222661397 0.00044137022397892
100 5 20 0.001999 0.16334 0 0 20 1546 154600 6 90 0.00388098318240621 0.000582147477360931
