cell_num	coverage_mean	coverage_variance	eff_seq_err_rate	ado_rate	deletion_rate	insertion_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	max_clades	RF_distance	normalized_RF_distance	weighted_RF_distance	normalized_weighted_RF_distance	rooted_branch_score_difference	num_candidate_mutated_sites	num_background_sites
40	20	10	0.001999	0.16334	0	0	13	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	inc_cnv	76.0	8	0.105263157894737	0.13450311716821	0.999912407423629	0.0310462290224284	731	19269
40	20	10	0.001999	0.16334	0	0	14	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	exc_cnv	76.0	16	0.210526315789474	0.188170488515114	0.999925590970795	0.0506444393630868	356	6712
40	20	10	0.001999	0.16334	0	0	14	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	inc_cnv	76.0	4	0.0526315789473684	0.158123924768328	0.999910171687158	0.0450672703474381	885	19114
40	20	10	0.001999	0.16334	0	0	15	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	exc_cnv	76.0	12	0.157894736842105	0.197822501761964	0.999922120012852	0.0421149957780721	366	6670
40	20	10	0.001999	0.16334	0	0	15	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	inc_cnv	76.0	12	0.157894736842105	0.172257114328377	0.999910678675158	0.0400176993110269	976	19023
40	20	10	0.001999	0.16334	0	0	16	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	exc_cnv	76.0	8	0.105263157894737	0.148421897011313	0.999919706153666	0.0354239855856606	259	6799
40	20	10	0.001999	0.16334	0	0	16	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	inc_cnv	76.0	12	0.157894736842105	0.130133182568543	0.999909073335026	0.033311991993526	707	19293
40	20	10	0.001999	0.16334	0	0	17	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	exc_cnv	76.0	12	0.157894736842105	0.205515757071251	0.999929087253882	0.0510192406913223	386	6701
40	20	10	0.001999	0.16334	0	0	17	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	inc_cnv	76.0	6	0.0789473684210526	0.175392011650066	0.999916298662296	0.0461071090175824	966	19033
40	20	10	0.001999	0.16334	0	0	18	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	exc_cnv	76.0	14	0.184210526315789	0.162341359636545	0.999915749790028	0.0403351559710734	307	6794
40	20	10	0.001999	0.16334	0	0	18	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	inc_cnv	76.0	12	0.157894736842105	0.144884050866506	0.999905808952765	0.0391576023403804	845	19155
40	20	10	0.001999	0.16334	0	0	19	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	exc_cnv	76.0	8	0.105263157894737	0.164688779549617	0.999927178637014	0.0429393428828807	316	6712
40	20	10	0.001999	0.16334	0	0	19	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	inc_cnv	76.0	14	0.184210526315789	0.151947398797884	0.999921216956185	0.0412796825279814	858	19141
40	20	10	0.001999	0.16334	0	0	20	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	exc_cnv	76.0	4	0.0526315789473684	0.146539814973455	0.999924352936184	0.0365618356259534	266	6826
40	20	10	0.001999	0.16334	0	0	20	sieve	candidate_snvs	none_univ-fels_fixed_2	mt	inc_cnv	76.0	6	0.0789473684210526	0.133714166115205	0.999917091902014	0.0353281457940528	760	19240
