"cell_num" "coverage_mean" "coverage_variance" "eff_seq_err_rate" "ado_rate" "deletion_rate" "insertion_rate" "dataset" "total_snv_sites" "total_snv_entries" "parallel_mu_sites" "parallel_mu_entries" "prop_parallel_mu_sites" "prop_parallel_mu_entries"
40 20 2 0.001999 0.16334 0 0 1 756 30240 1 3 0.00132275132275132 9.92063492063492e-05
40 20 2 0.001999 0.16334 0 0 2 591 23640 2 7 0.00338409475465313 0.000296108291032149
40 20 2 0.001999 0.16334 0 0 3 598 23920 2 6 0.00334448160535117 0.000250836120401338
40 20 2 0.001999 0.16334 0 0 4 775 31000 3 18 0.00387096774193548 0.000580645161290323
40 20 2 0.001999 0.16334 0 0 5 567 22680 3 35 0.00529100529100529 0.00154320987654321
40 20 2 0.001999 0.16334 0 0 6 531 21240 1 5 0.00188323917137476 0.000235404896421846
40 20 2 0.001999 0.16334 0 0 7 762 30480 5 51 0.00656167979002625 0.00167322834645669
40 20 2 0.001999 0.16334 0 0 8 659 26360 2 13 0.00303490136570561 0.000493171471927162
40 20 2 0.001999 0.16334 0 0 9 882 35280 5 80 0.00566893424036281 0.00226757369614512
40 20 2 0.001999 0.16334 0 0 10 665 26600 2 43 0.00300751879699248 0.00161654135338346
40 20 2 0.001999 0.16334 0 0 11 684 27360 0 0 0 0
40 20 2 0.001999 0.16334 0 0 12 784 31360 3 19 0.0038265306122449 0.000605867346938776
40 20 2 0.001999 0.16334 0 0 13 618 24720 1 26 0.00161812297734628 0.00105177993527508
40 20 2 0.001999 0.16334 0 0 14 804 32160 1 3 0.00124378109452736 9.32835820895522e-05
40 20 2 0.001999 0.16334 0 0 15 707 28280 2 11 0.00282885431400283 0.000388967468175389
40 20 2 0.001999 0.16334 0 0 16 779 31160 4 37 0.00513478818998716 0.00118741976893453
40 20 2 0.001999 0.16334 0 0 17 576 23040 2 24 0.00347222222222222 0.00104166666666667
40 20 2 0.001999 0.16334 0 0 18 635 25400 2 41 0.0031496062992126 0.00161417322834646
40 20 2 0.001999 0.16334 0 0 19 903 36120 1 17 0.00110741971207087 0.000470653377630122
40 20 2 0.001999 0.16334 0 0 20 706 28240 1 3 0.00141643059490085 0.000106232294617564
