"cell_num" "coverage_mean" "coverage_variance" "eff_seq_err_rate" "ado_rate" "deletion_rate" "insertion_rate" "dataset" "total_snv_sites" "total_snv_entries" "parallel_mu_sites" "parallel_mu_entries" "prop_parallel_mu_sites" "prop_parallel_mu_entries"
40 20 10 0.001999 0.16334 0 0 1 1455 58200 63 771 0.0432989690721649 0.0132474226804124
40 20 10 0.001999 0.16334 0 0 2 1192 47680 47 567 0.0394295302013423 0.0118917785234899
40 20 10 0.001999 0.16334 0 0 3 1228 49120 61 502 0.0496742671009772 0.0102198697068404
40 20 10 0.001999 0.16334 0 0 4 1347 53880 55 497 0.0408314773570898 0.00922420193021529
40 20 10 0.001999 0.16334 0 0 5 1360 54400 66 649 0.0485294117647059 0.0119301470588235
40 20 10 0.001999 0.16334 0 0 6 1387 55480 76 684 0.0547945205479452 0.0123287671232877
40 20 10 0.001999 0.16334 0 0 7 1395 55800 65 807 0.046594982078853 0.0144623655913978
40 20 10 0.001999 0.16334 0 0 8 1388 55520 90 767 0.0648414985590778 0.0138148414985591
40 20 10 0.001999 0.16334 0 0 9 1285 51400 67 845 0.0521400778210117 0.0164396887159533
40 20 10 0.001999 0.16334 0 0 10 1259 50360 58 700 0.0460683081810961 0.0138999205718824
40 20 10 0.001999 0.16334 0 0 11 1422 56880 54 698 0.0379746835443038 0.0122714486638537
40 20 10 0.001999 0.16334 0 0 12 1695 67800 99 1060 0.0584070796460177 0.0156342182890855
40 20 10 0.001999 0.16334 0 0 13 1242 49680 59 508 0.0475040257648953 0.0102254428341385
40 20 10 0.001999 0.16334 0 0 14 1445 57800 60 478 0.041522491349481 0.00826989619377163
40 20 10 0.001999 0.16334 0 0 15 1566 62640 85 779 0.0542784163473819 0.0124361430395913
40 20 10 0.001999 0.16334 0 0 16 1202 48080 68 668 0.0565723793677205 0.0138935108153078
40 20 10 0.001999 0.16334 0 0 17 1443 57720 84 887 0.0582120582120582 0.0153672903672904
40 20 10 0.001999 0.16334 0 0 18 1397 55880 57 659 0.0408017179670723 0.0117931281317108
40 20 10 0.001999 0.16334 0 0 19 1258 50320 51 631 0.0405405405405405 0.0125397456279809
40 20 10 0.001999 0.16334 0 0 20 1142 45680 44 464 0.0385288966725044 0.0101576182136602
